Storm Name,Class,Dates,Max. Winds (kt),Min. Pressure (mb),Direct Death,U.S. Damage ($ million),200-850_hPA_Shear(kt),Sea_Surface_Temp(Celsius) ,700-500_hPa_Humidity(%)
Unnamed,STS,Jan-23,60,976,,,,,
Arlene,TS,Jun-23,35,998,,,45,28,40
Bret,TS,Jun-23,60,996,,,23,27.5,60
Cindy,TS,Jun-23,50,1004,,,13,28.5,60
Don,H,Jul-23,65,986,,,20,28.5,50
Emily,TS,Aug-23,45,998,,,17,26.5,55
Franklin,MH,Aug-23,130,926,3,,20,26.5,45
Gert,TS,Aug-23,50,998,,,37,25,45
Harold,TS,Aug-23,50,995,,,20,27,60
Idalia,MH,Aug-23,115,942,8,3600,27,27.5,40
Jose,TS,Aug-23,55,996,,,37,27,40
Katia,TS,Sep-23,50,998,,,10,27,30
Lee,MH,Sep-23,145,926,4,,30,29,55
Margot,H,Sep-23,80,969,,,15,26,30
Nigel,H,Sep-23,85,971,,,20,27,50
Ophelia,TS,Sep-23,60,981,,450,25,27,50
Philippe,TS,Sep-23,50,998,,,33,27,70
Rina,TS,Sep-23,45,999,,,23,28,65
Sean,TS,Oct-23,40,1005,,,13,28.5,45
Tammy,H,Oct-23,95,965,,,33,25.5,40
Twenty-One,TD,Oct-23,25,1007,,,10,26.5,75
