Storm Name,Class,Dates,Max. Winds (kt),Min. Pressure (mb),Direct Death,U.S. Damage ($ million),200-850_hPA_Shear(kt),Sea_Surface_Temp(Celsius) ,700-500_hPa_Humidity(%)
Ana,TS,May-21,40,1004,,,20,28.5,65
Bill,TS,Jun-21,55,992,,,,13.3,65
Claudette,TS,Jun-21,40,1003,4,375,13,23,60
Danny,TS,Jun-21,40,1009,,,10,27,45
Elsa,H,Jul-21,75,991,13,1200,37,28,55
Fred,TS,Aug-21,55,991,6,1300,27,30,55
Grace,MH,Aug-21,105,967,16,,10,29.5,50
Henri,H,Aug-21,65,987,,700,5,28.5,50
Ida,MH,Aug-21,130,929,55,75000,10,28.1,50
Kate,TS,Aug-21,40,1004,,,15,28.5,45
Julian,TS,Aug-21,50,993,,,40,24,45
Larry,MH,Sep-21,110,953,5,,45,27.5,50
Mindy,TS,Sep-21,50,1000,,,30,28,40
Nicholas,H,Sep-21,65,988,2,1000,15,28,55
Odette,TS,Sep-21,40,1005,,,27,22,45
Peter,TS,Sep-21,45,1005,,,45,22.5,60
Rose,TS,Sep-21,50,1004,,,33,27,45
Sam,MH,Sep-21,135,927,,,40,28.5,45
Teresa,STS,Sep-21,40,1008,,,27,26,50
Victor,TS,Oct-21,55,997,,,27,27.5,30
Wanda,TS,Nov-21,50,983,,,23,22,40
